,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
68,Frank Ramsey*\ramsefr01,9,1955,1964,623,15330,2949,7382,,,2480,3083,,3410,1134,,,,2158,8378,0.399,,0.804,24.6,13.4,5.5,1.8,Jul 13 1931,Corydon
69,Bobby Rascoe\rascobo01,3,1968,1970,159,2887,450,1061,3,21,325,423,57,438,208,,,181,292,1228,0.424,0.143,0.768,18.2,7.7,2.8,1.3,Jul 22 1940,Trigg County
70,Arnie Risen*\risenar01,10,1949,1958,637,12690,2610,6850,,,2413,3451,,5011,1058,,,,2449,7633,0.381,,0.699,28.3,12,9.7,1.7,Oct 9 1924,Williamstown
71,Tex Ritter\rittete01,3,1949,1951,151,,262,753,,,265,393,,65,145,,,,224,789,0.348,,0.674,,5.2,1.9,1,Feb 26 1924,Richmond
72,Phil Rollins\rolliph01,3,1959,1961,177,2742,350,910,,,198,305,,395,458,,,,320,898,0.385,,0.649,15.5,5.1,2.2,2.6,Jan 19 1934,Wickliffe
73,Rajon Rondo\rondora01,14,2007,2020,873,27103,3723,8125,382,1207,1081,1783,877,4131,7215,1451,115,2439,1888,8909,0.458,0.316,0.606,31,10.2,4.7,8.3,Feb 22 1986,Louisville
74,D'Angelo Russell\russeda01,5,2016,2020,317,9204,2040,4858,747,2098,705,913,178,1176,1666,364,79,919,592,5532,0.42,0.356,0.772,29,17.5,3.7,5.3,Feb 23 1996,Louisville
75,Frank Selvy\selvyfr01,9,1955,1964,565,14908,2222,5640,,,1676,2302,,2098,1579,,,,1241,6120,0.394,,0.728,26.4,10.8,3.7,2.8,Nov 9 1932,Corbin
76,Mike Silliman\sillimi01,1,1971,1971,36,366,36,79,,,19,39,,62,23,,,,37,91,0.456,,0.487,10.2,2.5,1.7,0.6,May 5 1944,Louisville
77,Alvin Sims\simsal01,1,1999,1999,4,25,4,10,1,1,2,5,3,4,5,2,0,6,2,11,0.4,1,0.4,6.3,2.8,1,1.3,Oct 18 1974,Paris
78,Adrian Smith\smithad01,11,1962,1972,772,19010,3174,7389,2,11,2400,2865,14,1626,1739,,,34,1829,8750,0.43,0.182,0.838,24.6,11.3,2.1,2.3,Oct 5 1936,Farmington
79,Donta Smith\smithdo04,2,2005,2006,61,560,59,140,8,26,39,60,22,66,48,31,5,29,70,165,0.421,0.308,0.65,9.2,2.7,1.1,0.8,Nov 27 1983,Louisville
80,Garfield Smith\smithga01,3,1971,1973,134,1470,186,426,0,0,56,180,140,438,56,,,33,272,428,0.437,,0.311,11,3.2,3.3,0.4,Nov 18 1945,Campbellsville
81,Greg Smith\smithgr01,8,1969,1976,524,12269,1737,3607,,,623,965,94,3249,969,63,12,,1553,4097,0.482,,0.646,23.4,7.8,6.2,1.8,Jan 28 1947,Princeton
82,Nolan Smith\smithno01,2,2012,2013,84,829,109,294,19,73,40,56,24,83,97,25,4,71,81,277,0.371,0.26,0.714,9.9,3.3,1,1.2,Jul 25 1988,Louisville
