,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
40,Jimmy Oliver\oliveji01,5,1992,1999,78,856,135,332,17,50,44,57,18,80,55,27,3,33,66,331,0.407,0.34,0.772,11,4.2,1,0.7,Jul 12 1969,Menifee
41,Scottie Pippen*\pippesc01,17,1988,2004,1178,41069,7420,15700,978,3002,3122,4437,2068,7494,6135,2307,947,3257,3329,18940,0.473,0.326,0.704,34.9,16.1,6.4,5.2,Sep 25 1965,Hamburg
42,Bobby Portis\portibo01,5,2016,2020,315,6437,1295,2839,270,749,355,471,546,1872,380,158,94,341,579,3215,0.456,0.36,0.754,20.4,10.2,5.9,1.2,Feb 10 1995,Little Rock
43,Bryant Reeves\reevebr01,6,1996,2001,395,12071,1999,4208,2,27,945,1345,856,2745,623,200,302,744,1365,4945,0.475,0.074,0.703,30.6,12.5,6.9,1.6,Jun 8 1973,Fort Smith
44,Glen Rice\ricegl01,15,1990,2004,1000,34985,6776,14867,1559,3896,3225,3813,946,4387,2097,958,265,1733,2361,18336,0.456,0.4,0.846,35,18.3,4.4,2.1,May 28 1967,Jacksonville
45,Jackie Ridgle\ridglja01,1,1972,1972,32,107,19,44,,,19,26,,15,7,,,,15,57,0.432,,0.731,3.3,1.8,0.5,0.2,Feb 13 1948,Altheimer
46,Jerry Rook\rookje01,1,1970,1970,28,155,37,82,0,2,11,13,12,31,10,,,16,21,85,0.451,0,0.846,5.5,3,1.1,0.4,Oct 27 1943,Jonesboro
47,Paul Silas\silaspa01,16,1965,1980,1254,34989,4293,9949,0,0,3196,4748,2035,12357,2572,358,138,333,3105,11782,0.432,,0.673,27.9,9.4,9.9,2.1,Jul 12 1943,Prescott
48,Jeff Taylor\tayloje01,2,1983,1987,56,818,70,170,0,1,39,56,26,82,113,42,16,68,86,179,0.412,0,0.696,14.6,3.2,1.5,2,Jan 1 1960,Blytheville
49,Jeff Webster\webstje01,1,1996,1996,11,58,8,23,2,6,0,0,2,7,3,4,0,3,7,18,0.348,0.333,,5.3,1.6,0.6,0.3,Feb 19 1971,Pine Bluff
50,Sonny Weems\weemsso01,4,2009,2016,183,3335,514,1106,34,120,127,181,88,402,257,84,28,198,268,1189,0.465,0.283,0.702,18.2,6.5,2.2,1.4,Jul 8 1986,West Memphis
51,Corliss Williamson\willico02,12,1996,2007,822,18749,3603,7355,6,44,1935,2710,1214,3183,972,462,261,1316,2250,9147,0.49,0.136,0.714,22.8,11.1,3.9,1.2,Dec 4 1973,Russellville
52,Jasper Wilson\wilsoja01,2,1969,1970,70,815,136,360,6,14,88,135,63,187,45,,,67,133,366,0.378,0.429,0.652,11.6,5.2,2.7,0.6,Jul 12 1947,Camden
