,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
86,Glen Rice\ricegl02,2,2014,2015,16,152,14,52,6,24,9,13,6,24,9,6,1,11,18,43,0.269,0.25,0.692,9.5,2.7,1.5,0.6,Jan 1 1991,Miami
87,Chris Richard\richach01,2,2008,2010,70,780,56,116,0,0,23,38,71,194,25,18,16,38,133,135,0.483,,0.605,11.1,1.9,2.8,0.4,Dec 25 1984,Lakeland
88,Mitch Richmond*\richmmi01,14,1989,2002,976,34309,7305,16038,1326,3417,4561,5365,881,3801,3398,1211,254,2579,2503,20497,0.455,0.388,0.85,35.2,21,3.9,3.5,Jun 30 1965,Fort Lauderdale
89,Red Robbins\robbire01,8,1968,1975,586,18745,3005,6454,69,226,1624,1986,2136,6155,1001,71,65,868,1334,7703,0.466,0.305,0.818,32,13.1,10.5,1.7,Sep 30 1944,Leesburg
90,Rick Robey\robeyri01,8,1979,1986,493,8824,1498,2993,1,8,726,1117,825,2301,611,220,90,771,1213,3723,0.501,0.125,0.65,17.9,7.6,4.7,1.2,Jan 30 1956,Coral Gables
91,David Robinson*\robinda01,14,1990,2003,987,34271,7365,14221,25,100,6035,8201,3083,10497,2441,1388,2954,2417,2835,20790,0.518,0.25,0.736,34.7,21.1,10.6,2.5,Aug 6 1965,Key West
92,Mitchell Robinson\robinmi01,2,2019,2020,127,2772,455,632,0,0,165,283,363,851,73,104,280,72,411,1075,0.72,,0.583,21.8,8.5,6.7,0.6,Apr 1 1998,Pensacola
93,Truck Robinson\robintr01,11,1975,1985,772,25141,4816,9971,1,1,2355,3556,1985,7267,1348,533,510,1592,2253,11988,0.483,1,0.662,32.6,15.5,9.4,1.7,Oct 4 1951,Jacksonville
94,Tree Rollins\rollitr01,18,1978,1995,1156,24028,2592,4963,0,7,1065,1522,2148,6750,660,512,2542,1057,3377,6249,0.522,0,0.7,20.8,5.4,5.8,0.6,Jun 16 1955,Winter Haven
95,Clifford Rozier\roziecl01,4,1995,1998,173,2984,350,705,2,11,125,269,376,897,98,78,113,162,435,827,0.496,0.182,0.465,17.2,4.8,5.2,0.6,Oct 31 1972,Bradenton
96,Larry Sanders\sandela01,6,2011,2017,238,4635,669,1395,0,5,182,329,475,1345,174,152,429,224,666,1520,0.48,0,0.553,19.5,6.4,5.7,0.7,Nov 21 1988,Fort Pierce
97,Dwayne Schintzius\schindw01,8,1991,1999,217,1950,256,633,1,8,74,116,167,536,93,30,117,119,321,587,0.404,0.125,0.638,9,2.7,2.5,0.4,Oct 14 1968,Brandon
98,Tom Sewell\sewelto01,1,1985,1985,21,87,9,36,0,2,2,4,2,4,6,3,1,7,13,20,0.25,0,0.5,4.1,1,0.2,0.3,Mar 11 1962,Pensacola
99,Anfernee Simons\simonan01,2,2019,2020,85,1541,239,588,84,248,85,108,28,160,108,27,10,72,140,647,0.406,0.339,0.787,18.1,7.6,1.9,1.3,Jun 8 1999,Longwood
100,Otis Smith\smithot01,6,1987,1992,375,7720,1540,3384,47,187,824,1082,604,1416,690,377,188,559,804,3951,0.455,0.251,0.762,20.6,10.5,3.8,1.8,Jan 30 1964,Jacksonville
101,Theron Smith\smithth01,2,2004,2005,53,688,60,179,9,24,20,24,52,157,35,11,9,41,76,149,0.335,0.375,0.833,13,2.8,3,0.7,Oct 3 1980,Bartow
102,Marreese Speights\speigma01,10,2009,2018,705,10640,2181,4750,232,651,998,1252,947,2875,461,189,356,614,1564,5592,0.459,0.356,0.797,15.1,7.9,4.1,0.7,Aug 4 1987,St. Petersburg
103,Amar'e Stoudemire\stoudam01,14,2003,2016,846,26254,5911,11009,30,127,4142,5444,2029,6632,1050,636,1054,1953,2685,15994,0.537,0.236,0.761,31,18.9,7.8,1.2,Nov 16 1982,Lake Wales
104,Joe Strawder\strawjo01,3,1966,1968,231,6365,737,1729,,,503,733,,2296,245,,,,961,1977,0.426,,0.686,27.6,8.6,9.9,1.1,Sep 21 1940,Belle Glade
105,Roger Strickland\stricro01,1,1964,1964,1,4,1,3,,,0,0,,0,0,,,,1,2,0.333,,,4,2,0,0,Sep 4 1940,Jacksonville
106,Jermaine Taylor\tayloje02,2,2010,2011,65,786,139,315,19,67,54,74,47,108,48,24,8,65,54,351,0.441,0.284,0.73,12.1,5.4,1.7,0.7,Dec 8 1986,Tavares
107,Jim Thomas\thomaji01,4,1984,1991,161,3361,541,1148,9,53,264,346,136,418,377,142,12,210,322,1355,0.471,0.17,0.763,20.9,8.4,2.6,2.3,Oct 19 1960,Lakeland
108,Otis Thorpe\thorpot01,17,1985,2001,1257,39822,6872,12593,3,64,3853,5612,3446,10370,2730,840,501,2774,4146,17600,0.546,0.047,0.687,31.7,14,8.2,2.2,Aug 5 1962,Boynton Beach
109,David Vanterpool\vanteda01,1,2001,2001,22,411,46,110,0,6,30,50,15,37,66,23,3,37,44,122,0.418,0,0.6,18.7,5.5,1.7,3,Mar 31 1973,Daytona Beach
110,Darius Washington\washida01,1,2008,2008,18,146,21,48,4,12,7,13,4,20,15,5,0,14,16,53,0.438,0.333,0.538,8.1,2.9,1.1,0.8,Dec 6 1985,Winter Park
111,Walt Wesley\weslewa01,10,1967,1976,590,10306,2002,4614,,,998,1585,81,3243,385,16,25,,1448,5002,0.434,,0.63,17.5,8.5,5.5,0.7,Jan 25 1945,Fort Myers
112,Okaro White\whiteok01,3,2017,2019,44,557,40,105,16,47,22,25,29,95,23,11,11,19,58,118,0.381,0.34,0.88,12.7,2.7,2.2,0.5,Aug 13 1992,Clearwater
113,Bob Williams\willibo01,2,1956,1957,24,193,22,50,,,26,48,,59,7,,,,38,70,0.44,,0.542,8,2.9,2.5,0.3,May 12 1931,Pensacola
114,Lorenzo Williams\willilo01,7,1993,2000,253,5535,338,721,0,2,81,215,693,1603,247,134,350,236,732,757,0.469,0,0.377,21.9,3,6.3,1,Jul 15 1969,Ocala
115,Matt Williams\willima05,1,2018,2018,3,11,2,6,1,5,0,0,0,1,0,0,0,1,1,5,0.333,0.2,,3.7,1.7,0.3,0,Oct 14 1993,Orlando
