,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
99,Buddy Jeannette*\jeannbu01,3,1948,1950,139,,265,777,,,467,598,,,287,,,,386,997,0.341,,0.781,,7.2,,2.1,Sep 15 1917,New Kensington
100,Amile Jefferson\jeffeam01,2,2019,2020,30,142,15,30,0,0,12,22,16,44,7,4,6,4,15,42,0.5,,0.545,4.7,1.4,1.5,0.2,May 7 1993,Philadelphia
101,Alize Johnson\johnsal02,2,2019,2020,27,118,11,31,1,2,8,14,11,37,3,1,3,3,13,31,0.355,0.5,0.571,4.4,1.1,1.4,0.1,Apr 22 1996,Williamsport
102,B.J. Johnson\johnsbj01,2,2019,2020,15,95,14,36,4,13,4,4,3,14,2,4,0,5,4,36,0.389,0.308,1,6.3,2.4,0.9,0.1,Dec 21 1995,Philadelphia
103,Cameron Johnson\johnsca02,1,2020,2020,49,996,136,325,91,229,35,46,39,140,52,30,16,29,72,398,0.418,0.397,0.761,20.3,8.1,2.9,1.1,Mar 3 1996,Moon Township
104,Ollie Johnson\johnsol01,10,1973,1982,690,14554,2235,4505,3,20,868,1049,599,2280,1212,455,224,355,1503,5341,0.496,0.15,0.827,21.1,7.7,3.3,1.8,May 11 1949,Philadelphia
105,Stew Johnson\johnsst01,9,1968,1976,647,19201,4586,10854,269,872,1097,1393,1211,4263,984,176,40,1090,1598,10538,0.423,0.308,0.788,29.7,16.3,6.6,1.5,Aug 19 1944,Clairton
106,Askia Jones\jonesas01,1,1995,1995,11,139,15,44,2,12,13,16,6,11,16,6,0,9,19,45,0.341,0.167,0.813,12.6,4.1,1,1.5,Dec 3 1971,Philadelphia
107,Derrick Jones\jonesde02,4,2017,2020,163,3192,415,821,68,246,207,300,213,570,115,118,104,90,324,1105,0.505,0.276,0.69,19.6,6.8,3.5,0.7,Feb 15 1997,Chester
108,Wali Jones\joneswa02,11,1965,1976,678,15759,2690,6578,6,25,1286,1604,15,1471,2099,48,3,76,1842,6672,0.409,0.24,0.802,23.2,9.8,2.2,3.1,Feb 14 1942,Philadelphia
109,George Karl\karlge01,5,1974,1978,264,4449,674,1449,12,54,343,440,105,369,795,232,20,362,559,1703,0.465,0.222,0.78,16.9,6.5,1.4,3,May 12 1951,Penn Hills
