,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
285,Bob Peterson\peterbo01,3,1954,1956,103,1342,186,482,,,107,160,,389,78,,,,218,479,0.386,,0.669,13,4.7,3.8,0.8,Jan 25 1932,San Mateo
286,Paul Pierce\piercpa01,19,1999,2017,1343,45880,8668,19465,2143,5816,6918,8578,1092,7527,4708,1752,745,3532,3643,26397,0.445,0.368,0.806,34.2,19.7,5.6,3.5,Oct 13 1977,Oakland
287,Kevinn Pinkney\pinknke01,1,2007,2007,6,100,12,27,1,2,6,9,7,15,5,3,3,4,12,31,0.444,0.5,0.667,16.7,5.2,2.5,0.8,Oct 20 1983,Colton
288,Dwayne Polee\poleedw01,1,1987,1987,1,6,1,4,0,3,0,0,0,0,0,1,0,1,3,2,0.25,0,,6,2,0,0,Mar 2 1963,Los Angeles
289,Jim Pollard*\pollaji01,7,1949,1955,438,9391,2299,6379,,,1164,1552,,2487,1417,,,,1145,5762,0.36,,0.75,35.4,13.2,7.8,3.2,Jul 9 1922,Oakland
290,Ralph Polson\polsora01,1,1953,1953,49,810,65,179,,,61,96,,211,24,,,,102,191,0.363,,0.635,16.5,3.9,4.3,0.5,Oct 26 1929,Riverside
291,Cliff Pondexter\pondecl01,3,1976,1978,197,2856,300,722,,,178,267,226,747,218,81,52,30,282,778,0.416,,0.667,14.5,3.9,3.8,1.1,Sep 15 1954,Fresno
292,Quincy Pondexter\pondequ01,7,2011,2019,355,5530,571,1351,211,593,256,343,200,640,263,122,49,178,464,1609,0.423,0.356,0.746,15.6,4.5,1.8,0.7,Mar 10 1988,Fresno
293,Bob Portman\portmbo01,4,1970,1973,221,2937,519,1172,,,216,277,,729,128,,,,292,1254,0.443,,0.78,13.3,5.7,3.3,0.6,Mar 22 1947,San Francisco
294,Leon Powe\powele01,5,2007,2011,239,3320,490,952,0,5,504,739,380,911,78,69,82,189,503,1484,0.515,0,0.682,13.9,6.2,3.8,0.3,Jan 22 1984,Berkeley
295,Norman Powell\powelno01,5,2016,2020,299,5550,926,2025,307,854,372,456,95,699,387,212,70,297,486,2531,0.457,0.359,0.816,18.6,8.5,2.3,1.3,May 25 1993,San Diego
296,Tayshaun Prince\princta01,14,2003,2016,1017,31576,4583,10082,569,1550,1537,2033,1125,4332,2406,571,500,1064,1251,11272,0.455,0.367,0.756,31,11.1,4.3,2.4,Feb 28 1980,Compton
