,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
85,Chris Paul\paulch01,15,2006,2020,1013,35353,6556,13937,1369,3705,4230,4863,662,4572,9607,2220,131,2441,2481,18711,0.47,0.37,0.87,34.9,18.5,4.5,9.5,May 6 1985,Winston-Salem
86,Sam Pellom\pellosa01,4,1980,1983,196,2911,350,755,0,2,163,225,242,685,95,91,151,176,465,863,0.464,0,0.724,14.9,4.4,3.5,0.5,Oct 2 1951,Wilmington
87,Theo Pinson\pinsoth01,2,2019,2020,51,576,70,228,27,126,34,38,14,90,77,23,4,51,50,201,0.307,0.214,0.895,11.3,3.9,1.8,1.5,Nov 5 1995,Greensboro
88,Charles Pittman\pittmch01,4,1983,1986,234,3292,379,694,0,5,302,425,278,718,204,75,73,310,454,1060,0.546,0,0.711,14.1,4.5,3.1,0.9,Mar 23 1958,Rocky Mount
89,Willie Porter\portewi01,2,1968,1969,69,1442,253,598,0,0,216,325,27,504,65,,,166,213,722,0.423,,0.665,20.9,10.5,7.3,0.9,Jul 3 1942,Winston-Salem
90,Rodney Purvis\purviro01,1,2018,2018,16,290,35,107,13,52,13,15,1,27,17,3,3,10,26,96,0.327,0.25,0.867,18.1,6,1.7,1.1,Feb 14 1994,Plymouth
91,Shavlik Randolph\randosh01,8,2006,2015,146,1202,129,287,1,6,81,149,151,363,36,44,38,59,193,340,0.449,0.167,0.544,8.2,2.3,2.5,0.2,Nov 24 1983,Raleigh
92,Jerome Robinson\robinje01,2,2019,2020,88,1068,119,326,49,161,26,38,12,147,84,33,17,47,129,313,0.365,0.304,0.684,12.1,3.6,1.7,1,Feb 22 1997,Raleigh
93,Wayne Robinson\robinwa01,1,1981,1981,81,1592,234,509,0,6,175,240,117,294,112,46,24,149,186,643,0.46,0,0.729,19.7,7.9,3.6,1.4,Apr 19 1958,Greensboro
94,Rodney Rogers\rogerro01,12,1994,2005,866,21873,3608,7994,690,1986,1562,2264,1275,3881,1722,868,451,1631,2678,9468,0.451,0.347,0.69,25.3,10.9,4.5,2,Jun 20 1971,Durham
95,Reggie Royals\royalre01,1,1975,1975,2,11,2,4,0,0,0,0,0,0,0,0,0,0,1,4,0.5,,,5.5,2,0,0,Sep 18 1950,Whiteville
96,Delaney Rudd\ruddde01,4,1990,1993,239,2357,317,768,45,175,137,180,45,184,519,74,4,250,244,816,0.413,0.257,0.761,9.9,3.4,0.8,2.2,Nov 8 1962,Halifax
97,Ansu Sesay\sesayan01,4,2002,2005,127,1301,161,371,8,29,71,111,102,223,62,38,30,58,162,401,0.434,0.276,0.64,10.2,3.2,1.8,0.5,Jul 29 1976,Greensboro
98,Charles Shackleford\shackch01,6,1989,1999,303,4614,698,1444,0,5,229,350,497,1448,170,119,148,276,664,1625,0.483,0,0.654,15.2,5.4,4.8,0.6,Apr 22 1966,Kinston
99,Cedric Simmons\simmoce01,3,2007,2009,75,705,70,171,0,0,23,59,55,141,14,11,32,30,91,163,0.409,,0.39,9.4,2.2,1.9,0.2,Jan 3 1986,Shallotte
100,Belus Smawley\smawlbe01,6,1947,1952,261,139,1229,3544,,,858,1076,,196,595,,,,584,3316,0.347,,0.797,12.6,12.7,2.8,2.3,Mar 20 1918,Golden Valley
101,Dennis Smith\smithde03,3,2018,2020,156,4094,754,1885,189,601,260,402,103,493,708,166,46,406,346,1957,0.4,0.314,0.647,26.2,12.5,3.2,4.5,Nov 25 1997,Fayetteville
102,Ish Smith\smithis01,10,2011,2020,602,12088,1974,4590,251,790,448,660,214,1470,2334,432,144,760,787,4647,0.43,0.318,0.679,20.1,7.7,2.4,3.9,Jul 5 1988,Charlotte
103,Jerry Stackhouse\stackje01,18,1996,2013,970,30222,5386,13182,988,3202,4649,5659,926,3067,3240,869,437,2641,1810,16409,0.409,0.309,0.822,31.2,16.9,3.2,3.3,Nov 5 1974,Kinston
104,Brook Steppe\steppbr01,5,1983,1989,238,2858,443,945,9,29,402,490,127,345,280,105,17,248,334,1297,0.469,0.31,0.82,12,5.4,1.4,1.2,Nov 7 1959,Chapel Hill
105,Carlos Terry\terryca01,3,1981,1983,94,1078,122,281,0,11,41,61,75,227,124,54,27,82,162,285,0.434,0,0.672,11.5,3,2.4,1.3,Jun 22 1956,Lexington
106,David Thompson*\thompda01,9,1976,1984,592,19406,5020,9932,26,102,3356,4297,965,2446,1939,595,509,1379,1569,13422,0.505,0.255,0.781,32.8,22.7,4.1,3.3,Jul 13 1954,Shelby
107,Kevin Thompson\thompke01,1,1994,1994,14,58,6,14,0,1,1,2,7,13,3,0,2,5,11,13,0.429,0,0.5,4.1,0.9,0.9,0.2,Feb 7 1971,Winston-Salem
108,P.J. Tucker\tuckepj01,9,2007,2020,646,18928,1726,4079,677,1869,631,842,1016,3764,925,783,200,652,1604,4760,0.423,0.362,0.749,29.3,7.4,5.8,1.4,May 5 1985,Raleigh
109,Rayjon Tucker\tuckera01,1,2020,2020,14,78,8,19,0,6,3,5,2,13,2,1,0,3,7,19,0.421,0,0.6,5.6,1.4,0.9,0.1,Sep 24 1997,Charlotte
110,Trent Tucker\tucketr01,11,1983,1993,756,15671,2594,5632,575,1410,473,627,512,1520,1532,679,88,593,1594,6236,0.461,0.408,0.754,20.7,8.2,2,2,Dec 20 1959,Tarboro
111,Fred Vinson\vinsofr01,2,1995,2000,13,67,6,24,3,13,2,3,0,1,1,3,0,6,6,17,0.25,0.231,0.667,5.2,1.3,0.1,0.1,Jan 28 1971,Murfreesboro
112,John Wall\walljo01,9,2011,2019,573,20545,3942,9107,539,1663,2456,3144,330,2483,5282,976,396,2191,1289,10879,0.433,0.324,0.781,35.9,19,4.3,9.2,Sep 6 1990,Raleigh
113,Bob Warlick\warlibo01,5,1966,1970,186,3171,608,1518,0,1,257,426,51,566,387,,,57,368,1473,0.401,0,0.603,17,7.9,3,2.1,Mar 20 1941,Hickory
114,T.J. Warren\warretj01,6,2015,2020,322,9218,2023,4012,225,643,623,802,440,1320,380,317,161,330,758,4894,0.504,0.35,0.777,28.6,15.2,4.1,1.2,Sep 5 1993,Durham
115,Chris Washburn\washbch01,2,1987,1988,72,645,93,226,0,1,36,82,64,176,22,11,16,56,80,222,0.412,0,0.439,9,3.1,2.4,0.3,May 13 1965,Hickory
116,Jamie Watson\watsoja01,4,1995,1999,102,1248,126,269,12,38,59,85,39,149,117,65,17,93,151,323,0.468,0.316,0.694,12.2,3.2,1.5,1.1,Feb 23 1972,Elm City
117,Coby White\whiteco01,1,2020,2020,65,1674,312,792,133,376,102,129,28,230,175,49,6,109,117,859,0.394,0.354,0.791,25.8,13.2,3.5,2.7,Feb 16 2000,Goldsboro
118,Tony White\whiteto01,1,1988,1988,49,581,111,249,0,6,39,54,12,31,59,20,2,47,57,261,0.446,0,0.722,11.9,5.3,0.6,1.2,Feb 15 1965,Charlotte
119,Hassan Whiteside\whiteha01,8,2011,2020,404,10840,2328,4003,8,25,912,1505,1367,4778,277,238,985,660,1072,5576,0.582,0.32,0.606,26.8,13.8,11.8,0.7,Jun 13 1989,Gastonia
120,Mitchell Wiggins\wiggimi01,6,1984,1992,389,8105,1596,3468,14,73,671,889,585,1235,609,397,34,453,942,3877,0.46,0.192,0.755,20.8,10,3.2,1.6,Sep 28 1959,Lenoir County
121,Chris Wilcox\wilcoch01,11,2003,2013,628,12474,2101,3884,0,18,948,1474,970,3076,455,322,246,705,1517,5150,0.541,0,0.643,19.9,8.2,4.9,0.7,Sep 3 1982,Raleigh
