,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Mike Dabich\dabicmi01,1,1968,1968,10,49,8,12,0,0,4,9,,13,2,,,5,12,20,0.667,,0.444,4.9,2,1.3,0.2,Dec 27 1942,Lander
2,Jimmy Darden\dardeji01,1,1950,1950,26,,78,243,,,55,80,,,67,,,,67,211,0.321,,0.688,,8.1,,2.6,Jun 19 1922,Cheyenne
3,Vern Gardner\gardnve01,3,1950,1952,151,507,514,1493,,,311,416,,349,245,,,,445,1339,0.344,,0.748,18.8,8.9,4,1.6,May 14 1925,Afton
4,James Johnson\johnsja01,11,2010,2020,634,13081,1992,4177,324,1046,747,1078,517,2284,1355,497,570,928,1421,5055,0.477,0.31,0.693,20.6,8,3.6,2.1,Feb 20 1987,Cheyenne
5,John Pilch\pilchjo01,1,1952,1952,9,41,1,10,,,3,6,,9,2,,,,10,5,0.1,,0.5,4.6,0.6,1,0.2,Jul 11 1925,Sheridan
6,Moe Radovich\radovmo01,1,1953,1953,4,33,5,13,,,4,4,,1,8,,,,5,14,0.385,,1,8.3,3.5,0.3,2,May 5 1929,Hot Springs
7,Floyd Volker\volkefl01,1,1950,1950,54,,163,527,,,71,129,,,112,,,,169,397,0.309,,0.55,,7.4,,2.1,Jun 21 1921,Casper
