,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
110,Don Henriksen\henrido01,2,1953,1955,138,3927,338,881,,,313,476,,990,240,,,,432,989,0.384,,0.658,28.5,7.2,7.2,1.7,Oct 10 1929,
111,Myke Henry\henrymy01,1,2018,2018,20,378,41,109,19,58,6,10,10,38,22,31,6,19,28,107,0.376,0.328,0.6,18.9,5.4,1.9,1.1,Dec 23 1992,Chicago
112,Phil Hicks\hicksph01,2,1977,1979,57,390,59,132,,,14,18,39,94,32,13,0,13,57,132,0.447,,0.778,6.8,2.3,1.6,0.6,Jan 31 1953,Chicago
113,Lew Hitch\hitchle01,6,1952,1957,414,8364,759,2021,,,557,827,,2183,499,,,,685,2075,0.376,,0.674,20.2,5,5.3,1.2,Jul 16 1929,Griggsville
114,Craig Hodges\hodgecr01,10,1983,1992,695,15077,2363,5129,563,1408,651,786,306,937,1769,553,26,815,1368,5940,0.461,0.4,0.828,21.7,8.5,1.3,2.5,Jun 27 1960,Park Forest
115,Randy Holcomb\holcora01,1,2006,2006,4,11,1,1,0,0,0,0,1,1,0,0,0,0,2,2,1,,,2.8,0.5,0.3,0,Aug 8 1979,Chicago
116,Richaun Holmes\holmeri01,5,2016,2020,265,4950,911,1561,39,152,368,508,446,1313,251,162,258,213,671,2229,0.584,0.257,0.724,18.7,8.4,5,0.9,Oct 15 1993,Lockport
117,Jeff Hornacek\hornaje01,14,1987,2000,1077,33964,5929,11957,828,2055,2973,3390,919,3646,5281,1536,226,1971,2364,15659,0.496,0.403,0.877,31.5,14.5,3.4,4.9,May 3 1963,Elmhurst
118,Ed Horton\hortoed01,1,1990,1990,45,374,80,162,0,4,42,69,59,108,19,9,5,39,63,202,0.494,0,0.609,8.3,4.5,2.4,0.4,Dec 17 1967,Springfield
119,Talen Horton-Tucker\hortota01,1,2020,2020,2,5,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,,2.5,0,0,1,Nov 25 2000,Chicago
120,Juwan Howard\howarju01,19,1995,2013,1208,36654,6543,13950,6,50,3067,4014,2348,7428,2663,818,312,2469,3493,16159,0.469,0.12,0.764,30.3,13.4,6.1,2.2,Feb 7 1973,Chicago
121,Troy Hudson\hudsotr01,11,1998,2008,517,11280,1714,4278,452,1333,757,882,193,877,1748,273,30,818,690,4637,0.401,0.339,0.858,21.8,9,1.7,3.4,Mar 13 1976,Carbondale
