,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
29,Mikki Moore\mooremi01,13,1999,2012,564,10257,1269,2304,2,13,717,965,777,2196,409,179,306,537,1541,3257,0.551,0.154,0.743,18.2,5.8,3.9,0.7,Nov 4 1975,Orangeburg
30,Ja Morant\moranja01,1,2020,2020,59,1771,393,800,51,139,204,265,44,208,409,54,15,191,90,1041,0.491,0.367,0.77,30,17.6,3.5,6.9,Aug 10 1999,Dalzell
31,Larry Nance\nancela01,13,1982,1994,920,30697,6370,11664,8,55,2939,3892,2299,7352,2393,872,2027,1711,2703,15687,0.546,0.145,0.755,33.4,17.1,8,2.6,Feb 12 1959,Anderson
32,Jim Neal\nealji01,2,1954,1955,80,1093,129,428,,,92,153,,304,33,,,,161,350,0.301,,0.601,13.7,4.4,3.8,0.4,May 21 1930,Silverstreet
33,Jermaine O'Neal\onealje01,18,1997,2014,1011,27364,5144,11025,14,95,3007,4208,1991,7261,1369,470,1820,1872,2896,13309,0.467,0.147,0.715,27.1,13.2,7.2,1.4,Oct 13 1978,Columbia
34,Josh Powell\poweljo01,7,2006,2014,316,3966,498,1136,7,20,223,300,331,932,161,49,68,254,491,1226,0.438,0.35,0.743,12.6,3.9,2.9,0.5,Jan 25 1983,Charleston
35,Laron Profit\profila01,4,2000,2006,135,1537,173,413,21,89,74,104,52,209,166,70,25,116,138,441,0.419,0.236,0.712,11.4,3.3,1.5,1.2,Aug 5 1977,Charleston
36,Clifford Ray\raycl01,10,1972,1981,784,19940,2333,4450,0,2,1155,1963,1657,6953,1728,501,638,532,2618,5821,0.524,0,0.588,25.4,7.4,8.9,2.2,Jan 21 1949,Union
37,Stanley Roberts\roberst01,8,1992,2000,300,5869,1059,2124,0,2,437,850,506,1549,189,110,385,370,1060,2555,0.499,0,0.514,19.6,8.5,5.2,0.6,Feb 7 1970,Hopkins
38,Ramon Sessions\sessira01,11,2008,2018,691,16119,2406,5539,208,658,2121,2681,339,1840,2807,472,52,1173,942,7141,0.434,0.316,0.791,23.3,10.3,2.7,4.1,Apr 11 1986,Myrtle Beach
39,John Shumate\shumajo01,5,1976,1981,318,9201,1393,2698,0,1,1134,1576,605,2388,574,323,224,365,731,3920,0.516,0,0.72,28.9,12.3,7.5,1.8,Apr 6 1952,Greenville
40,Levern Tart\tartle01,4,1968,1971,274,9272,2020,4539,22,87,1254,1600,455,1374,830,,,841,792,5316,0.445,0.253,0.784,33.8,19.4,5,3,Jun 1 1942,Marion
41,Sindarius Thornwell\thornsi01,2,2018,2019,137,1469,117,282,26,76,84,122,38,184,86,62,32,73,166,344,0.415,0.342,0.689,10.7,2.5,1.3,0.6,Nov 15 1994,Lancaster
42,Jayson Williams\willija01,9,1991,1999,475,9805,1360,3092,3,24,749,1236,1587,3584,287,204,301,515,1284,3472,0.44,0.125,0.606,20.6,7.3,7.5,0.6,Feb 22 1968,Ritter
43,Travis Williams\willitr01,2,1998,1999,47,427,62,132,0,1,27,50,59,111,22,20,6,36,65,151,0.47,0,0.54,9.1,3.2,2.4,0.5,May 27 1969,Columbia
44,Leon Wood\woodle01,6,1985,1991,274,4531,598,1525,173,530,373,471,74,316,867,127,4,266,289,1742,0.392,0.326,0.792,16.5,6.4,1.2,3.2,Mar 25 1962,Columbia
