,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
104,Naz Reid\reidna01,1,2020,2020,30,495,100,243,32,97,37,53,34,124,35,19,22,22,83,269,0.412,0.33,0.698,16.5,9,4.1,1.2,Aug 26 1999,Asbury Park
105,Rodrick Rhodes\rhodero01,3,1998,2000,72,1234,125,360,3,15,127,205,38,88,121,69,12,119,146,380,0.347,0.2,0.62,17.1,5.3,1.2,1.7,Sep 24 1973,Jersey City
106,Malachi Richardson\richama01,3,2017,2019,70,625,67,187,28,93,36,46,10,70,24,16,2,26,63,198,0.358,0.301,0.783,8.9,2.8,1,0.3,Jan 5 1996,Trenton
107,David Rivers\riverda01,3,1989,1992,114,1286,139,349,1,12,104,131,53,147,282,61,10,166,117,383,0.398,0.083,0.794,11.3,3.4,1.3,2.5,Jan 20 1965,Jersey City
108,Dennis Rodman*\rodmade01,14,1987,2000,911,28839,2766,5310,82,355,1069,1832,4329,11954,1600,611,531,1484,2843,6683,0.521,0.231,0.584,31.7,7.3,13.1,1.8,May 13 1961,Trenton
109,Lou Roe\roelo01,2,1996,1997,66,479,46,138,5,20,33,51,37,92,21,13,9,28,52,130,0.333,0.25,0.647,7.3,2,1.4,0.3,Jul 14 1972,Atlantic City
110,Brian Rowsom\rowsobr01,3,1988,1990,82,1092,158,347,2,3,139,170,101,273,47,29,23,44,130,457,0.455,0.667,0.818,13.3,5.6,3.3,0.6,Oct 23 1965,Newark
111,Pep Saul\saulpe01,6,1950,1955,384,6219,781,2170,,,590,798,,683,596,,,,687,2152,0.36,,0.739,23,5.6,2,1.6,Feb 16 1924,West Orange
112,Ben Scharnus\scharbe01,2,1947,1949,52,,33,166,,,37,60,,,19,,,,83,103,0.199,,0.617,,2,,0.4,Dec 11 1917,Newark
113,Herb Scherer\scherhe01,2,1951,1952,32,167,43,149,,,29,49,,76,23,,,,81,115,0.289,,0.592,13.9,3.6,2.4,0.7,Dec 21 1928,Maplewood
114,James Scott\scottja01,1,1997,1997,8,32,0,8,0,4,1,2,1,6,3,2,0,2,5,1,0,0,0.5,4,0.1,0.8,0.4,Jun 6 1972,Paterson
115,Connie Simmons\simmoco01,10,1947,1956,598,7036,2180,6211,,,1499,2211,,2294,940,,,,1843,5859,0.351,,0.678,22.9,9.8,6.2,1.6,Mar 15 1925,Newark
116,Chris Smith\smithch05,1,2014,2014,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,Oct 13 1987,Millstone Township
117,J.R. Smith\smithjr01,15,2005,2019,971,26196,4373,10443,1929,5167,1456,1988,494,3068,2074,973,204,1311,2186,12131,0.419,0.373,0.732,27,12.5,3.2,2.1,Sep 9 1985,Freehold
118,Jim Spanarkel\spanaji01,5,1980,1984,259,5290,844,1796,12,48,805,941,300,652,572,248,38,399,495,2505,0.47,0.25,0.855,20.4,9.7,2.5,2.2,Jun 28 1957,Jersey City
119,Dick Surhoff\surhodi01,2,1953,1954,58,545,56,190,,,66,92,,94,32,,,,89,178,0.295,,0.717,9.4,3.1,1.6,0.6,Nov 16 1929,Union City
120,Brian Taylor\taylobr01,10,1973,1982,601,19149,3190,6468,211,593,1277,1637,616,1608,2478,1106,152,1034,1696,7868,0.493,0.356,0.78,31.9,13.1,2.7,4.1,Jun 9 1951,Perth Amboy
121,Tyshawn Taylor\tayloty01,2,2013,2014,61,491,63,178,9,25,39,57,5,33,57,25,1,56,54,174,0.354,0.36,0.684,8,2.9,0.5,0.9,Apr 12 1990,Hoboken
122,Tim Thomas\thomati01,13,1998,2010,824,21336,3458,7922,962,2609,1576,2079,807,3379,1272,609,300,1217,2261,9454,0.437,0.369,0.758,25.9,11.5,4.1,1.5,Feb 26 1977,Paterson
123,Billy Thompson\thompbi01,6,1987,1992,300,6697,1074,2128,2,13,416,617,670,1615,514,158,272,529,817,2566,0.505,0.154,0.674,22.3,8.6,5.4,1.7,Dec 1 1963,Camden
124,Jason Thompson\thompja02,8,2009,2016,588,14819,2112,4255,6,42,980,1492,1264,3880,635,283,414,747,1751,5210,0.496,0.143,0.657,25.2,8.9,6.6,1.1,Jul 21 1986,Camden
125,Karl-Anthony Towns\townska01,5,2016,2020,358,12307,3063,5741,507,1280,1480,1781,1121,4209,992,278,523,904,1180,8113,0.534,0.396,0.831,34.4,22.7,11.8,2.8,Nov 15 1995,Edison
126,Kelly Tripucka\tripuke01,10,1982,1991,707,20959,4434,9380,168,465,3106,3660,937,2703,2090,678,137,1697,1634,12142,0.473,0.361,0.849,29.6,17.2,3.8,3,Feb 16 1959,Glen Ridge
127,Butch van Breda Kolff\vanbrbu01,4,1947,1950,175,,242,794,,,342,511,,,256,,,,350,826,0.305,,0.669,,4.7,,1.5,Oct 28 1922,Glen Ridge
128,Bob Verga\vergabo01,6,1968,1974,342,10754,2614,5964,127,429,1563,2086,576,1336,1004,12,0,991,1004,6918,0.438,0.296,0.749,31.4,20.2,3.9,2.9,Sep 7 1945,Neptune
129,Dajuan Wagner\wagneda02,4,2003,2007,103,2202,354,967,92,287,164,213,29,142,195,69,14,136,212,964,0.366,0.321,0.77,21.4,9.4,1.4,1.9,Feb 4 1983,Camden
130,Milt Wagner\wagnemi01,2,1988,1991,53,496,86,204,8,27,35,40,4,35,76,8,7,34,56,215,0.422,0.296,0.875,9.4,4.1,0.7,1.4,Feb 20 1963,Camden
131,Jameel Warney\warneja01,1,2018,2018,3,27,7,12,0,0,3,5,4,9,0,0,0,1,2,17,0.583,,0.6,9,5.7,3,0,Jan 31 1994,New Brunswick
132,Darryl Watkins\watkida01,2,2008,2012,14,169,12,29,0,0,11,23,13,39,3,7,6,15,22,35,0.414,,0.478,12.1,2.5,2.8,0.2,Nov 8 1984,Paterson
133,Elnardo Webster\webstel01,1,1972,1972,24,237,50,109,1,4,21,29,15,44,16,,,35,39,122,0.459,0.25,0.724,9.9,5.1,1.8,0.7,Mar 6 1948,Jersey City
134,David West\westda01,15,2004,2018,1034,29144,5703,11519,57,215,2571,3148,1784,6590,2273,764,850,1660,2408,14034,0.495,0.265,0.817,28.2,13.6,6.4,2.2,Aug 29 1980,Teaneck
135,Clinton Wheeler\wheelcl01,2,1988,1989,87,867,107,219,0,1,40,54,36,71,157,63,2,76,63,254,0.489,0,0.741,10,2.9,0.8,1.8,Oct 27 1959,Neptune
136,Eric Williams\willier01,12,1996,2007,658,15731,1865,4490,219,688,1693,2301,704,2139,936,548,103,789,1596,5642,0.415,0.318,0.736,23.9,8.6,3.3,1.4,Jul 17 1972,Newark
137,Jay Williams\willija03,1,2003,2003,75,1961,273,685,65,202,103,161,27,195,350,86,17,171,179,714,0.399,0.322,0.64,26.1,9.5,2.6,4.7,Sep 10 1981,Plainfield
138,Bill Willoughby\willobi01,8,1976,1984,488,8647,1224,2606,10,37,472,629,685,1891,413,209,292,390,964,2930,0.47,0.27,0.75,17.7,6,3.9,0.8,May 20 1957,Englewood
139,Garry Witts\wittsga01,1,1982,1982,46,493,49,84,1,2,33,40,29,62,38,17,4,35,74,132,0.583,0.5,0.825,10.7,2.9,1.3,0.8,Jul 3 1959,Elizabeth
140,Lonnie Wright\wrighlo01,5,1968,1972,335,8707,1443,3544,111,435,593,822,199,913,641,,,464,983,3590,0.407,0.255,0.721,26,10.7,2.7,1.9,Jan 23 1945,Newark
141,Luther Wright\wrighlu01,1,1994,1994,15,92,8,23,0,1,3,4,6,10,0,1,2,6,21,19,0.348,0,0.75,6.1,1.3,0.7,0,Sep 22 1971,Jersey City
