,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Charlie Black\blackch01,3,1949,1952,136,117,435,1535,,,375,624,,31,312,,,,551,1245,0.283,,0.601,9,9.2,2.4,2.3,Jun 15 1921,Arco
2,Steve Hayes\hayesst01,5,1982,1986,212,2296,233,483,0,1,79,158,203,526,85,32,102,99,438,545,0.482,0,0.5,10.8,2.6,2.5,0.4,Aug 2 1955,American Falls
3,Luke Ridnour\ridnolu01,12,2004,2015,830,21623,2933,6803,584,1674,1290,1496,363,1877,3713,814,161,1349,1779,7740,0.431,0.349,0.862,26.1,9.3,2.3,4.5,Feb 13 1981,Coeur d'Alene
4,Deb Smith\smithde01,1,1947,1947,48,,32,119,,,9,21,,,6,,,,47,73,0.269,,0.429,,1.5,,0.1,Jan 7 1920,Paul
5,Dale Wilkinson\wilkida01,1,1985,1985,12,45,4,16,0,1,6,7,1,4,2,0,0,4,10,14,0.25,0,0.857,3.8,1.2,0.3,0.2,Mar 18 1960,Pocatello
