,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
135,Eric Piatkowski\piatker01,14,1995,2008,789,14613,2044,4711,865,2168,966,1152,508,1716,778,404,115,628,1152,5919,0.434,0.399,0.839,18.5,7.5,2.2,1,Sep 30 1970,Steubenville
136,Walter Piatkowski\piatkwa01,3,1969,1972,157,3149,617,1507,38,132,193,250,254,617,89,,,178,408,1465,0.409,0.288,0.772,20.1,9.3,3.9,0.6,Jun 11 1945,Toledo
137,James Posey\poseyja01,12,2000,2011,864,23260,2495,6091,1035,2967,1394,1701,755,4061,1413,917,298,981,2330,7419,0.41,0.349,0.82,26.9,8.6,4.7,1.6,Jan 13 1977,Cleveland
138,Mike Pratt\prattmi01,2,1971,1972,143,2102,306,717,19,51,175,219,158,383,286,,,205,286,806,0.427,0.373,0.799,14.7,5.6,2.7,2,Aug 4 1948,Dayton
139,Les Pugh\pughle01,2,1949,1950,116,,236,829,,,240,303,,,75,,,,286,712,0.285,,0.792,,6.1,,0.6,Sep 18 1922,Butler
140,Kelvin Ransey\ranseke01,6,1981,1986,474,11586,2207,4862,20,152,946,1209,227,901,2480,472,34,958,923,5380,0.454,0.132,0.782,24.4,11.4,1.9,5.2,May 3 1958,Toledo
141,Ed Ratleff\ratleed01,5,1974,1978,338,8433,1160,2554,,,493,614,465,1363,896,430,143,67,801,2813,0.454,,0.803,24.9,8.3,4,2.7,Mar 29 1950,Bellefontaine
142,Michael Redd\reddmi01,12,2001,2012,629,20104,4207,9405,1045,2751,2513,2998,622,2411,1338,579,66,963,1002,11972,0.447,0.38,0.838,32,19,3.8,2.1,Aug 24 1979,Columbus
143,Mel Riebe\riebeme01,3,1947,1949,146,,650,2140,,,275,443,,,212,,,,416,1575,0.304,,0.621,,10.8,,1.5,Jul 12 1916,Cleveland
144,Eric Riley\rileyer01,5,1994,1999,186,1844,218,478,0,4,138,196,180,479,60,54,132,126,303,574,0.456,0,0.704,9.9,3.1,2.6,0.3,Jun 2 1970,Cleveland
145,Brian Roberts\roberbr01,5,2013,2017,314,5207,753,1831,217,610,336,370,58,422,721,132,19,272,368,2059,0.411,0.356,0.908,16.6,6.6,1.3,2.3,Dec 3 1985,Toledo
