,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
36,Mark Price\pricema01,12,1987,1998,722,21560,3939,8345,976,2428,2135,2362,409,1848,4863,860,76,1790,964,10989,0.472,0.402,0.904,29.9,15.2,2.6,6.7,Feb 15 1964,Bartlesville
37,Bob Priddy\priddbo01,1,1953,1953,16,149,14,38,,,8,14,,36,7,,,,36,36,0.368,,0.571,9.3,2.3,2.3,0.4,Mar 24 1930,Altus
38,Hub Reed\reedhu01,7,1959,1965,479,7870,1081,2481,,,456,630,,2449,367,,,,1337,2618,0.436,,0.724,16.4,5.5,5.1,0.8,Oct 4 1936,Harrah
39,Josh Richardson\richajo01,5,2016,2020,307,9423,1393,3270,489,1352,522,641,216,985,890,341,207,444,758,3797,0.426,0.362,0.814,30.7,12.4,3.2,2.9,Sep 15 1993,Edmond
40,Ryan Robertson\roberry01,1,2000,2000,1,25,2,6,0,2,1,1,0,0,0,0,0,0,0,5,0.333,0,1,25,5,0,0,Oct 2 1976,Lawton
41,Shea Seals\sealssh01,1,1998,1998,4,9,1,8,0,3,2,4,3,4,0,1,0,0,1,4,0.125,0,0.5,2.3,1,1,0,Aug 26 1975,Tulsa
42,John Starks\starkjo01,13,1989,2002,866,23514,3953,9590,1222,3591,1701,2211,417,2129,3085,951,106,1533,2293,10829,0.412,0.34,0.769,27.2,12.5,2.5,3.6,Aug 10 1965,Tulsa
43,Wayman Tisdale\tisdawa01,12,1986,1997,840,23868,5338,10575,0,21,2202,2897,1617,5117,1077,464,500,1407,2801,12878,0.505,0,0.76,28.4,15.3,6.1,1.3,Jun 9 1964,Tulsa
44,Ekpe Udoh\udohek01,7,2011,2019,384,5694,519,1145,0,4,315,439,456,1100,260,177,429,222,714,1353,0.453,0,0.718,14.8,3.5,2.9,0.7,May 20 1987,Edmond
45,David Vaughn\vaughda02,4,1996,1999,118,1156,137,324,0,2,67,105,134,361,36,31,48,98,216,341,0.423,0,0.638,9.8,2.9,3.1,0.3,Mar 23 1973,Tulsa
46,Jake Voskuhl\voskuja01,9,2001,2009,450,6443,673,1381,1,3,467,654,562,1539,237,148,166,340,1166,1814,0.487,0.333,0.714,14.3,4,3.4,0.5,Nov 1 1977,Tulsa
47,Danny Wagner\wagneda01,1,1950,1950,11,,19,54,,,31,35,,,18,,,,22,69,0.352,,0.886,,6.3,,1.6,Aug 1 1922,Henryetta
48,Shelden Williams\willish02,6,2007,2012,361,5586,590,1276,2,9,436,589,529,1562,163,179,164,304,733,1618,0.462,0.222,0.74,15.5,4.5,4.3,0.5,Oct 21 1983,Oklahoma City
