,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Glenn Hansen\hansegl01,3,1976,1978,112,1447,240,582,,,108,149,106,247,93,61,16,1,191,588,0.412,,0.725,12.9,5.3,2.2,0.8,Apr 21 1952,Devils Lake
2,Les Jepsen\jepsele01,2,1991,1992,52,192,20,60,0,2,13,20,29,67,2,2,8,6,33,53,0.333,0,0.65,3.7,1,1.3,0,Jun 24 1967,Bowbells
3,Tyler Johnson\johnsty01,6,2015,2020,301,7740,1136,2642,371,1036,503,653,170,956,735,267,136,349,572,3146,0.43,0.358,0.77,25.7,10.5,3.2,2.4,May 7 1992,Grand Forks
4,Duane Klueh\kluehdu01,2,1950,1951,113,,316,872,,,292,406,,183,173,,,,254,924,0.362,,0.719,,8.2,3,1.5,Jan 6 1926,Bottineau
5,Mark Landsberger\landsma01,7,1978,1984,437,7306,1024,2128,0,3,420,805,1041,2681,236,124,70,473,692,2468,0.481,0,0.522,16.7,5.6,6.1,0.5,May 21 1955,Minot
6,Doug McDermott\mcderdo01,6,2015,2020,403,8040,1241,2669,494,1195,326,395,143,882,339,77,40,246,567,3302,0.465,0.413,0.825,20,8.2,2.2,0.8,Jan 3 1992,Grand Forks
