,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,26,OKC,58,58,1564,6,10.2,0.591,0,0.1,0.333,6,10.1,0.593,2.5,4.2,0.59,4.5,8,12.5,3.2,1.2,1.5,2,2.6,14.6
1,Bam Adebayo,22,MIA,65,65,2235,6.6,11.6,0.567,0,0.2,0.077,6.6,11.4,0.576,3.8,5.5,0.69,2.7,8.3,11,5.4,1.3,1.4,3,2.6,17
2,LaMarcus Aldridge,34,SAS,53,53,1754,8,16.3,0.493,1.3,3.2,0.389,6.8,13.1,0.519,3.2,3.9,0.827,2.1,5.9,8,2.6,0.7,1.8,1.5,2.6,20.5
3,Nickeil Alexander-Walker,21,NOP,41,0,501,5.5,16.3,0.339,2.9,8.4,0.342,2.7,7.9,0.336,1.2,2,0.607,0.6,5.2,5.7,5.3,0.8,0.5,2.9,3.3,15.2
4,Grayson Allen,24,MEM,30,0,498,5.7,12.7,0.449,2.4,6.6,0.363,3.3,6.1,0.541,2.2,2.5,0.857,0.4,4.4,4.8,3.1,0.4,0.1,1.7,2.6,16
5,Jarrett Allen,21,BRK,64,58,1647,5.8,9,0.646,0,0.1,0,5.8,8.9,0.654,3.2,5.2,0.62,4.3,9,13.2,1.9,0.8,1.9,1.6,3.1,14.9
6,Kadeem Allen,27,NYK,10,0,117,5.8,13.5,0.432,1.5,4.9,0.313,4.3,8.6,0.5,2.2,3.4,0.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
7,Al-Farouq Aminu,29,ORL,18,2,380,2.4,8.1,0.291,0.9,3.4,0.25,1.5,4.7,0.32,1.8,2.7,0.655,2.3,6,8.2,2,1.7,0.8,1.6,2.6,7.4
8,Justin Anderson,26,BRK,3,0,17,2.1,12.7,0.167,0,6.4,0,2.1,6.4,0.333,2.1,4.2,0.5,0,4.2,4.2,0,0,2.1,0,4.2,6.4
9,Kyle Anderson,26,MEM,59,20,1140,4.4,8.8,0.493,0.5,2,0.258,3.9,6.9,0.56,1.4,2.1,0.652,1.7,6.4,8.1,4.2,1.5,1,1.7,2.7,10.6
10,Ryan Anderson,31,HOU,2,0,14,5.1,18,0.286,2.6,12.9,0.2,2.6,5.1,0.5,0,0,,0,18,18,5.1,2.6,0,2.6,2.6,12.9
11,Giannis Antetokounmpo,25,MIL,57,57,1763,12.7,23.3,0.547,1.7,5.5,0.306,11,17.7,0.622,7.4,11.6,0.633,2.7,13.3,16,6.7,1.2,1.2,4.3,3.5,34.5
12,Kostas Antetokounmpo,22,LAL,3,0,5,0,0,,0,0,,0,0,,0,0,,0,7.2,7.2,7.2,0,0,0,0,0
13,Thanasis Antetokounmpo,27,MIL,18,2,93,7.4,13.9,0.528,0,2.7,0,7.4,11.2,0.655,2.7,5.8,0.467,4.3,3.1,7.4,3.5,2.3,0.8,4.3,5,17.4
14,Carmelo Anthony,35,POR,50,50,1623,6.4,15.1,0.426,1.6,4.3,0.371,4.8,10.8,0.447,2.5,3,0.843,1.4,5.6,6.9,1.8,0.9,0.5,1.9,3.1,16.9
15,OG Anunoby,22,TOR,63,62,1897,5.1,10,0.507,1.6,4.1,0.381,3.5,5.9,0.593,1.1,1.6,0.686,1.4,5.1,6.5,1.9,1.7,0.8,1.4,2.9,12.8
16,Ryan Arcidiacono,25,CHI,58,4,930,3.5,8.5,0.409,2.1,5.3,0.391,1.4,3.2,0.439,1,1.5,0.711,0.8,3.5,4.3,3.7,1,0.1,1.4,3.7,10.1
17,Trevor Ariza,34,TOT,53,21,1493,3.4,7.8,0.438,1.9,5,0.372,1.6,2.8,0.556,1.5,1.8,0.838,0.8,5.1,5.9,2.2,1.7,0.4,1.4,2.7,10.2
18,D.J. Augustin,32,ORL,49,6,1215,4.6,11.8,0.393,1.8,5.2,0.345,2.8,6.6,0.43,4.1,4.7,0.885,0.5,2.7,3.2,6.6,0.9,0,2,1.6,15.1
19,Deandre Ayton,21,PHO,30,25,996,9.2,16.8,0.548,0,0.1,0,9.2,16.7,0.552,2.2,2.8,0.769,4.4,8.6,13,2.1,0.8,1.8,2.6,3.5,20.6
20,Dwayne Bacon,24,CHO,39,11,687,4.5,12.8,0.348,1,3.5,0.284,3.5,9.3,0.373,1.8,2.8,0.66,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
21,Marvin Bagley III,20,SAC,13,6,334,8.4,18,0.467,0.4,2.4,0.182,8,15.6,0.51,2.7,3.3,0.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
22,Lonzo Ball,22,NOP,56,47,1817,5.1,12.4,0.412,2.8,7.2,0.383,2.4,5.3,0.453,0.8,1.3,0.567,1.2,5.6,6.9,7.8,1.6,0.6,3.4,2.2,13.8
23,Mo Bamba,21,ORL,60,0,868,5.5,11.7,0.468,1.5,4.3,0.356,3.9,7.4,0.534,1.3,1.9,0.674,4.1,8.3,12.4,1.7,0.9,3.5,1.7,4.8,13.8
24,J.J. Barea,35,DAL,26,4,391,6.8,16.5,0.413,2.7,7,0.382,4.1,9.5,0.437,1.6,1.7,0.944,0.9,3.5,4.4,9.1,0.4,0.2,3.2,2.3,17.9
25,Harrison Barnes,27,SAC,64,64,2231,5.3,11.5,0.459,1.5,3.9,0.383,3.8,7.6,0.498,3.2,3.9,0.803,1,4,4.9,2.5,0.6,0.2,1.3,1.3,15.2
