,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
430,Mike Scott,31,PHI,63,10,1119,4.2,10.3,0.408,2.3,6.6,0.358,1.8,3.7,0.496,0.8,1,0.833,1.9,5.4,7.2,1.5,0.6,0.2,0.8,2.7,11.5
431,Thabo Sefolosha,35,HOU,41,0,436,3.1,7.5,0.407,1.2,4.5,0.278,1.8,3.1,0.595,0.2,0.7,0.375,1.7,5.9,7.7,2.1,2,1,1.2,3.6,7.6
432,Collin Sexton,21,CLE,65,65,2143,8.6,18.2,0.472,1.6,4.3,0.38,7,14,0.501,3.8,4.5,0.846,1,2.4,3.4,3.2,1.1,0.1,2.7,2.4,22.7
433,Landry Shamet,22,LAC,47,27,1294,4.1,9.8,0.416,2.9,7.5,0.392,1.1,2.3,0.494,1.6,1.8,0.905,0.2,2.3,2.5,2.4,0.5,0.3,1,3.6,12.6
434,Marial Shayok,24,PHI,2,0,10,3.6,18,0.2,3.6,10.8,0.333,0,7.2,0,0,0,,0,10.8,10.8,3.6,0,0,3.6,0,10.8
435,Iman Shumpert,29,BRK,13,0,241,3.1,9.6,0.328,1.2,4.9,0.242,1.9,4.6,0.419,0.6,1,0.571,1.3,3.7,5.1,1.8,1.8,0.3,1.5,3.1,8.1
436,Pascal Siakam,25,TOR,53,53,1882,8.8,19.1,0.459,2.2,6.1,0.359,6.6,13,0.506,4.2,5.3,0.8,1.1,6.5,7.6,3.7,1,0.9,2.5,2.9,24
437,Chris Silva,23,MIA,41,0,307,5,8.1,0.623,0,0.2,0,5,7.9,0.642,4,5.7,0.694,6.3,6.4,12.8,2.5,1.1,2.1,3.6,9.4,14.1
438,Ben Simmons,23,PHI,54,54,1930,6.7,11.5,0.585,0,0.1,0.333,6.7,11.4,0.588,3.3,5.3,0.627,2,5.9,7.9,8.2,2.1,0.6,3.6,3.2,16.8
439,Anfernee Simons,20,POR,65,4,1400,5.4,13.5,0.402,1.9,5.6,0.338,3.5,7.9,0.448,2,2.4,0.826,0.6,3.1,3.8,2.4,0.7,0.3,1.6,3.4,14.7
440,Alen Smailagić,19,GSW,14,0,139,5.2,10.4,0.5,0.8,3.4,0.231,4.4,7,0.63,4.1,4.9,0.842,2.6,4.4,7,3.4,0.8,1,2.8,3.6,15.3
441,Marcus Smart,25,BOS,53,39,1721,5,13.2,0.38,2.7,7.7,0.348,2.3,5.5,0.424,2.2,2.7,0.835,0.8,3.4,4.3,5.4,1.8,0.6,1.9,3,14.9
442,Dennis Smith Jr.,22,NYK,34,3,537,4.8,14.1,0.341,1.1,3.6,0.296,3.8,10.5,0.357,1.8,3.6,0.509,1.4,3.8,5.2,6.6,1.9,0.5,3.9,4.4,12.5
443,Ish Smith,31,WAS,60,19,1570,6,13.3,0.451,1.3,3.4,0.367,4.7,9.9,0.48,1.1,1.6,0.686,0.6,3.7,4.3,6.5,1.2,0.6,1.8,1.9,14.4
444,Zhaire Smith,20,PHI,7,0,32,3.4,12.4,0.273,0,3.4,0,3.4,9,0.375,2.3,4.5,0.5,0,2.3,2.3,2.3,3.4,0,2.3,4.5,9
445,Tony Snell,28,DET,59,57,1641,3.7,8.4,0.445,2.2,5.6,0.402,1.5,2.8,0.531,0.7,0.7,1,0.2,2.2,2.4,2.8,0.7,0.3,0.7,2.2,10.4
446,Omari Spellman,22,GSW,49,3,886,5.2,12,0.431,1.7,4.5,0.391,3.4,7.5,0.454,3,3.7,0.793,3.1,5.8,8.9,1.9,1.3,1,2.2,2.6,15
447,Max Strus,23,CHI,2,0,6,12,18,0.667,0,6,0,12,12,1,6,6,1,6,0,6,0,0,0,0,6,30
448,Edmond Sumner,24,IND,25,2,345,4.9,11.6,0.423,1,4,0.263,3.9,7.6,0.507,1,1.6,0.667,1,2.8,3.9,4.1,1.6,0.8,2,3.7,11.9
449,Caleb Swanigan,22,TOT,27,1,288,3.5,5.9,0.596,0,0.2,0,3.5,5.6,0.622,1.1,2.1,0.529,3.4,9.1,12.5,3.9,0.4,0.9,4.6,7.7,8.1
450,Jayson Tatum,21,BOS,59,59,2043,8.8,19.6,0.448,2.9,7.4,0.398,5.9,12.2,0.479,4,4.9,0.806,1,6.4,7.4,3.1,1.5,0.9,2.3,2.1,24.5
451,Jeff Teague,31,TOT,59,17,1464,5.2,12,0.436,1.1,2.9,0.368,4.2,9.1,0.457,4.2,4.8,0.873,0.7,2.8,3.5,7.6,1.1,0.5,2.9,2.6,15.8
452,Garrett Temple,33,BRK,55,31,1547,4.6,12.2,0.378,2.6,8.1,0.324,2,4.1,0.483,1.3,1.7,0.767,0.7,3.8,4.4,3.3,1,0.6,1.3,2.2,13.1
453,Daniel Theis,27,BOS,58,57,1382,5.6,10,0.565,0.7,2.1,0.321,4.9,7.8,0.631,2.1,2.8,0.764,3.4,6.5,9.9,2.5,0.9,2,1.3,5.2,14
454,Isaiah Thomas,30,WAS,40,37,925,6.8,16.6,0.408,3,7.4,0.413,3.7,9.2,0.405,2.4,3,0.816,0.4,2.2,2.6,5.7,0.5,0.2,3,3,19
