,Player,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
395,Ben McLemore,26,HOU,63,1437,11.7,0.622,0.83,0.132,1.5,8.7,5.1,5.3,1.2,0.7,8.5,15.6,2.1,0.9,3.0,0.1,0.0,-0.7,-0.7,0.5
396,Jordan McRae,28,TOT,37,784,14.2,0.515,0.344,0.298,2.4,15.4,8.7,17.7,1.3,1.8,9.4,24.4,0.4,0.3,0.7,0.043,0.0,-1.6,-1.5,0.1
400,Nicolò Melli,29,NOP,52,889,12.3,0.583,0.647,0.21600000000000003,4.4,14.3,9.3,10.2,1.6,1.8,12.1,15.9,1.0,0.8,1.8,0.095,-0.9,0.3,-0.6,0.3
401,De'Anthony Melton,21,MEM,52,1011,14.6,0.525,0.331,0.3,3.9,15.9,10.0,20.9,3.0,1.5,16.3,19.6,0.4,1.4,1.8,0.086,-1.6,1.8,0.3,0.6
402,Chimezie Metu,22,SAS,16,73,25.4,0.597,0.028999999999999998,0.22899999999999998,14.7,23.7,19.2,13.9,0.7,4.8,11.5,25.9,0.2,0.1,0.2,0.159,3.8,-0.8,3.0,0.1
403,Khris Middleton,28,MIL,55,1653,21.4,0.619,0.374,0.231,2.5,17.0,10.2,21.0,1.4,0.4,10.8,26.2,4.3,3.1,7.4,0.214,3.4,0.9,4.4,2.7
404,Eric Mika,25,SAC,1,19,14.0,0.773,0.0,0.667,11.6,30.5,20.8,0.0,0.0,0.0,0.0,8.9,0.1,0.0,0.1,0.222,-2.2,-0.9,-3.1,0.0
405,C.J. Miles,32,WAS,10,161,11.0,0.47200000000000003,0.593,0.33899999999999997,2.6,5.7,4.1,9.9,2.9,2.2,5.6,18.6,0.0,0.1,0.1,0.033,-1.8,0.0,-1.9,0.0
406,Malcolm Miller,26,TOR,25,125,4.7,0.43200000000000005,0.792,0.25,0.9,10.8,5.9,8.3,1.5,1.5,10.1,10.1,-0.1,0.2,0.1,0.037000000000000005,-4.3,1.4,-2.9,0.0
407,Patty Mills,31,SAS,63,1430,14.7,0.589,0.675,0.188,1.4,6.0,3.7,11.3,1.7,0.4,7.6,20.5,2.1,0.5,2.6,0.086,1.1,-1.2,-0.1,0.7
408,Paul Millsap,34,DEN,44,1075,17.7,0.598,0.282,0.326,9.0,17.9,13.5,9.5,1.7,2.4,12.1,20.3,2.0,1.4,3.4,0.151,0.6,0.0,0.6,0.7
409,Shake Milton,23,PHI,32,611,15.2,0.633,0.488,0.235,2.0,10.3,6.1,17.4,1.5,0.8,13.7,19.6,1.1,0.6,1.7,0.134,0.3,-0.6,-0.3,0.3
410,Donovan Mitchell,23,UTA,63,2165,19.1,0.56,0.34700000000000003,0.235,2.3,11.2,7.0,21.2,1.5,0.5,10.9,31.0,3.0,2.2,5.2,0.115,2.4,-0.5,1.9,2.1
411,Naz Mitrou-Long,26,IND,3,43,10.1,0.43799999999999994,0.688,0.0,0.0,15.3,7.7,22.2,1.1,2.0,11.1,18.4,0.0,0.0,0.0,0.015,-1.9,2.4,0.5,0.0
412,Adam Mokoka,21,CHI,11,112,8.2,0.5379999999999999,0.536,0.14300000000000002,6.6,3.1,4.9,5.0,1.7,0.0,6.3,12.1,0.1,0.1,0.2,0.073,-3.1,-1.0,-4.1,-0.1
413,Malik Monk,21,CHO,55,1169,12.7,0.53,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,0.1,0.6,0.7,0.027999999999999997,-1.0,-1.3,-2.3,-0.1
414,Matt Mooney,22,CLE,4,19,8.1,0.25,0.5,0.0,0.0,17.7,8.8,6.7,5.1,4.5,0.0,9.0,0.0,0.0,0.0,0.006,-5.3,5.0,-0.3,0.0
415,E'Twaun Moore,30,NOP,51,958,11.1,0.509,0.39,0.105,3.2,10.4,6.8,10.9,1.4,0.9,8.1,19.9,0.2,0.6,0.8,0.042,-2.0,-1.0,-2.9,-0.2
416,Ja Morant,20,MEM,59,1771,18.0,0.568,0.174,0.331,2.7,9.5,6.2,34.6,1.4,0.7,17.2,26.0,2.2,1.2,3.4,0.09300000000000001,1.6,-1.3,0.4,1.1
417,Juwan Morgan,22,UTA,16,74,8.8,0.5589999999999999,0.294,0.0,7.8,19.8,14.1,3.8,0.0,1.1,15.0,11.9,0.0,0.1,0.1,0.066,-2.9,-0.4,-3.3,0.0
418,Marcus Morris,30,TOT,55,1727,14.8,0.5670000000000001,0.43200000000000005,0.27899999999999997,3.3,14.2,8.6,6.9,1.2,1.4,9.5,22.8,2.0,1.2,3.2,0.08800000000000001,0.9,-0.8,0.1,0.9
421,Markieff Morris,30,TOT,52,1106,12.4,0.568,0.494,0.195,3.4,17.0,10.2,10.4,1.2,1.2,14.0,21.1,0.4,0.8,1.2,0.053,-1.2,-0.9,-2.1,0.0
424,Monte Morris,24,DEN,65,1402,14.9,0.537,0.298,0.128,1.6,7.3,4.4,23.3,1.9,1.1,8.1,17.2,2.2,1.2,3.4,0.11699999999999999,0.2,-0.1,0.1,0.8
425,Johnathan Motley,24,LAC,13,41,28.4,0.774,0.067,0.467,7.7,17.2,12.6,32.8,3.4,0.0,21.7,23.4,0.2,0.1,0.3,0.299,4.8,3.3,8.1,0.1
426,Emmanuel Mudiay,23,UTA,48,752,13.7,0.55,0.263,0.239,2.6,13.7,8.4,21.8,1.2,1.1,16.9,22.4,0.3,0.8,1.1,0.071,-1.2,0.1,-1.1,0.2
427,Mychal Mulder,25,GSW,7,204,7.8,0.5329999999999999,0.7759999999999999,0.179,1.5,11.0,6.1,5.8,0.5,0.4,6.5,16.2,0.1,0.0,0.1,0.017,-3.3,-2.9,-6.1,-0.2
428,Dejounte Murray,23,SAS,58,1447,17.1,0.535,0.168,0.175,5.0,20.0,12.5,23.7,3.3,1.0,15.7,20.6,0.9,1.7,2.6,0.087,-0.5,1.5,1.0,1.1
429,Jamal Murray,22,DEN,55,1804,17.5,0.5589999999999999,0.359,0.209,2.6,10.8,6.7,22.7,1.8,0.8,11.8,25.2,2.5,1.6,4.2,0.111,1.8,-0.7,1.1,1.4
430,Džanan Musa,20,BRK,35,404,8.4,0.467,0.46799999999999997,0.317,5.0,12.9,9.0,11.0,1.5,0.2,15.5,19.4,-0.4,0.4,0.0,0.006,-4.1,-0.7,-4.8,-0.3
431,Mike Muscala,28,OKC,41,492,12.2,0.56,0.755,0.138,3.0,17.7,10.6,9.8,0.8,1.9,7.7,16.4,0.5,0.5,1.0,0.102,-0.1,-0.1,-0.2,0.2
432,Sviatoslav Mykhailiuk,22,DET,56,1265,11.2,0.578,0.7040000000000001,0.17300000000000001,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1.0,0.6,1.6,0.06,-0.7,-1.2,-1.8,0.0
433,Abdel Nader,26,OKC,48,756,11.2,0.58,0.47700000000000004,0.282,2.1,10.8,6.6,6.6,1.3,2.3,12.7,16.5,0.4,0.7,1.1,0.07200000000000001,-1.1,0.2,-0.8,0.2
434,Larry Nance Jr.,27,CLE,56,1472,17.3,0.608,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,0.128,1.4,0.3,1.8,1.4
435,Shabazz Napier,28,TOT,51,1234,14.5,0.555,0.5379999999999999,0.341,2.1,10.8,6.3,29.1,2.5,0.6,18.9,19.6,1.1,0.8,1.9,0.075,-0.3,-0.2,-0.5,0.5
438,Raul Neto,27,PHI,49,565,11.5,0.562,0.406,0.177,2.1,8.0,5.1,19.3,1.9,0.8,18.2,17.6,0.2,0.6,0.8,0.071,-1.8,-0.1,-1.9,0.0
439,Malik Newman,22,CLE,1,4,-11.3,0.34700000000000003,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,41.5,0.0,0.0,0.0,-0.503,-14.5,-11.3,-25.9,0.0
440,Georges Niang,26,UTA,58,772,12.4,0.612,0.698,0.083,1.8,13.2,7.7,6.7,0.8,0.5,8.6,17.1,1.0,0.7,1.7,0.105,0.9,-0.4,0.5,0.5
441,Nerlens Noel,25,OKC,55,1014,21.7,0.7140000000000001,0.012,0.386,9.3,20.0,14.8,7.9,2.7,6.9,15.4,15.3,2.7,2.1,4.8,0.225,0.5,3.4,4.0,1.5
442,Zach Norvell,22,TOT,5,41,2.6,0.402,0.667,0.083,0.0,16.3,7.9,10.2,2.3,0.0,19.4,16.1,-0.1,0.0,-0.1,-0.084,-7.1,-1.2,-8.3,-0.1
445,Jaylen Nowell,20,MIN,15,151,10.5,0.47100000000000003,0.491,0.321,2.0,7.3,4.5,17.8,0.9,0.6,4.7,17.3,0.1,0.0,0.2,0.051,-2.9,-0.8,-3.7,-0.1
446,Frank Ntilikina,21,NYK,57,1187,9.8,0.49700000000000005,0.41100000000000003,0.177,2.0,9.1,5.4,20.2,2.2,1.3,16.5,15.4,0.1,0.8,0.9,0.037000000000000005,-3.6,0.4,-3.2,-0.4
447,Kendrick Nunn,24,MIA,62,1846,13.5,0.545,0.426,0.10800000000000001,1.2,8.7,5.1,18.7,1.4,0.6,10.2,23.7,1.0,1.4,2.4,0.064,-0.7,-1.3,-2.0,0.0
448,David Nwaba,27,BRK,20,268,14.0,0.627,0.39399999999999996,0.38,3.2,13.9,8.6,4.4,1.9,3.7,8.8,14.2,0.4,0.4,0.8,0.142,-1.1,2.0,1.0,0.2
449,Royce O'Neale,26,UTA,64,1862,9.3,0.584,0.657,0.153,1.4,17.8,10.0,11.5,1.2,1.3,12.7,9.3,1.8,2.2,4.0,0.10400000000000001,-1.3,2.1,0.8,1.3
450,Kyle O'Quinn,29,PHI,26,258,18.1,0.541,0.319,0.264,13.7,28.3,21.0,19.1,0.9,7.3,18.3,16.5,0.3,0.5,0.8,0.155,-0.7,2.2,1.5,0.2
451,Semi Ojeleye,25,BOS,61,891,7.6,0.557,0.616,0.17600000000000002,2.9,11.9,7.5,4.5,1.0,0.5,6.5,8.8,0.8,0.9,1.7,0.091,-2.1,0.5,-1.6,0.1
452,Jahlil Okafor,24,NOP,28,424,17.8,0.631,0.013999999999999999,0.40299999999999997,11.4,18.2,14.8,12.6,0.8,3.7,17.5,19.8,0.7,0.4,1.1,0.129,-0.8,0.6,-0.2,0.2
453,Elie Okobo,22,PHO,54,707,10.5,0.511,0.392,0.37,2.5,11.6,6.9,21.5,1.6,0.5,15.3,14.9,0.4,0.5,0.9,0.059000000000000004,-2.0,-0.1,-2.1,0.0
454,Josh Okogie,21,MIN,62,1547,11.5,0.5529999999999999,0.387,0.48,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,1.0,1.2,2.2,0.067,-2.4,0.0,-2.4,-0.1
455,KZ Okpala,20,MIA,5,26,13.7,0.595,0.2,0.4,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,0.0,0.0,0.1,0.11900000000000001,-1.2,4.0,2.7,0.0
456,Victor Oladipo,27,IND,13,337,12.0,0.5,0.429,0.255,2.3,11.0,6.7,16.9,1.6,0.8,13.5,27.0,-0.3,0.4,0.1,0.008,-1.7,-1.3,-3.0,-0.1
457,Kelly Olynyk,28,MIA,59,1089,14.7,0.64,0.584,0.259,4.0,22.0,13.4,13.2,1.7,1.6,15.1,16.9,1.7,1.5,3.2,0.14,0.1,1.0,1.1,0.8
458,Miye Oni,22,UTA,5,11,-9.9,0.0,0.5,0.0,0.0,19.1,10.0,0.0,0.0,0.0,33.3,12.0,-0.1,0.0,-0.1,-0.285,-12.7,-4.6,-17.3,0.0
459,Cedi Osman,24,CLE,65,1910,10.7,0.552,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.1,0.5,1.6,0.04,-1.6,-0.9,-2.6,-0.3
460,Kelly Oubre Jr.,24,PHO,56,1933,14.9,0.56,0.37200000000000005,0.298,3.8,17.3,10.4,6.7,1.7,1.8,8.2,22.4,1.7,1.9,3.6,0.09,-0.3,-0.4,-0.6,0.7
461,Tariq Owens,24,PHO,3,15,8.4,0.34,0.4,0.4,14.5,7.6,11.1,0.0,3.2,0.0,0.0,16.7,0.0,0.0,0.0,0.017,-3.1,-2.8,-5.9,0.0
462,Jeremy Pargo,33,GSW,3,44,12.7,0.557,0.318,0.045,2.4,5.1,3.7,33.2,1.1,0.0,15.1,25.7,0.0,0.0,0.0,0.011000000000000001,-2.8,-3.1,-5.9,0.0
463,Jabari Parker,24,TOT,33,852,17.0,0.561,0.29100000000000004,0.185,6.7,18.1,12.3,11.7,2.3,1.5,12.2,24.0,0.5,0.7,1.2,0.066,0.2,-0.4,-0.1,0.4
466,Chandler Parsons,31,ATL,5,54,5.6,0.389,0.778,0.0,2.0,12.1,7.0,7.5,3.5,1.6,14.3,16.1,-0.1,0.0,-0.1,-0.066,-4.7,-1.3,-6.0,-0.1
467,Eric Paschall,23,GSW,60,1654,14.5,0.5710000000000001,0.20199999999999999,0.331,5.2,13.1,9.0,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2.0,-2.7,-0.3
468,Anžejs Pasečņiks,24,WAS,24,405,11.6,0.555,0.019,0.509,10.2,16.9,13.4,5.7,0.9,2.6,14.5,15.6,0.3,0.2,0.5,0.055999999999999994,-3.8,-1.6,-5.4,-0.3
469,Patrick Patterson,30,LAC,51,607,11.7,0.5760000000000001,0.755,0.18100000000000002,5.2,15.1,10.3,6.9,0.5,0.4,8.1,15.1,0.9,0.6,1.5,0.11800000000000001,0.9,-0.5,0.4,0.4
470,Justin Patton,22,OKC,5,24,4.7,0.45,0.4,0.0,4.8,17.9,11.6,12.5,0.0,0.0,16.7,22.1,0.0,0.0,0.0,-0.066,-6.9,-3.3,-10.1,-0.1
471,Chris Paul,34,OKC,63,2003,21.7,0.609,0.34700000000000003,0.311,1.2,15.5,8.6,33.4,2.4,0.4,13.0,23.2,5.5,2.5,8.1,0.19399999999999998,3.1,1.2,4.3,3.2
472,Elfrid Payton,25,NYK,45,1246,16.0,0.47,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,1.7,0.065,-0.3,0.3,0.0,0.6
473,Gary Payton II,27,WAS,29,432,11.3,0.473,0.397,0.069,6.3,14.3,10.2,14.7,3.6,1.4,14.3,13.4,0.1,0.4,0.4,0.049,-3.1,1.5,-1.6,0.0
474,Norvel Pelle,26,PHI,20,178,11.2,0.521,0.0,0.34299999999999997,9.9,27.3,18.6,5.3,0.3,12.0,24.4,12.9,-0.1,0.4,0.3,0.08199999999999999,-7.1,3.1,-4.1,-0.1
475,Theo Pinson,24,BRK,33,365,5.2,0.37,0.516,0.10300000000000001,2.9,12.1,7.6,22.0,2.2,0.9,16.9,22.4,-1.0,0.5,-0.6,-0.07400000000000001,-6.9,-0.2,-7.1,-0.5
476,Mason Plumlee,29,DEN,53,900,19.1,0.615,0.016,0.556,11.0,23.9,17.4,20.0,1.6,3.4,18.9,18.4,1.7,1.3,3.0,0.162,0.2,2.0,2.2,1.0
477,Jakob Poeltl,24,SAS,58,965,19.6,0.611,0.0,0.33899999999999997,11.6,23.0,17.3,14.6,1.5,7.7,15.2,13.3,2.0,1.3,3.3,0.165,0.8,2.3,3.1,1.2
478,Vincent Poirier,26,BOS,21,114,12.8,0.54,0.061,0.212,9.5,22.4,16.0,8.6,0.8,4.9,14.3,15.8,0.1,0.2,0.3,0.124,-4.5,0.7,-3.8,-0.1
479,Shamorie Ponds,21,TOR,4,11,33.2,0.765,0.4,0.4,0.0,9.4,4.8,32.1,0.0,8.8,0.0,22.9,0.1,0.0,0.1,0.451,8.4,5.3,13.7,0.0
480,Jordan Poole,20,GSW,57,1274,7.2,0.45399999999999996,0.528,0.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5
481,Kevin Porter Jr.,19,CLE,50,1162,10.8,0.535,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,-0.3,0.6,0.3,0.011000000000000001,-3.2,-0.6,-3.7,-0.5
482,Michael Porter Jr.,21,DEN,48,670,18.5,0.589,0.358,0.151,8.8,24.3,16.5,8.0,1.5,2.6,10.3,22.0,1.0,0.9,2.0,0.141,1.4,-0.7,0.8,0.5
483,Otto Porter,26,CHI,14,331,15.8,0.55,0.44299999999999995,0.193,4.1,12.3,8.0,11.9,2.2,1.7,6.8,21.0,0.4,0.4,0.8,0.11199999999999999,0.9,0.2,1.0,0.3
484,Bobby Portis,24,NYK,66,1393,14.6,0.53,0.317,0.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1.0,1.9,0.064,0.1,-1.1,-1.0,0.3
485,Kristaps Porziņģis,24,DAL,51,1597,19.3,0.54,0.447,0.282,5.9,25.3,15.8,8.6,1.1,5.6,8.5,26.6,1.7,2.6,4.3,0.129,1.2,0.3,1.5,1.4
486,Dwight Powell,28,DAL,40,1061,16.0,0.677,0.17,0.485,7.5,14.7,11.2,7.7,1.6,1.8,11.5,12.7,2.6,1.1,3.7,0.16899999999999998,0.4,1.0,1.4,0.9
487,Norman Powell,26,TOR,44,1269,17.4,0.629,0.457,0.252,2.0,11.2,6.7,9.7,2.1,1.3,10.0,21.5,2.2,1.9,4.2,0.157,1.4,0.9,2.3,1.4
488,Chasson Randle,26,GSW,3,40,6.7,0.377,0.5,1.5,0.0,5.6,2.7,15.7,2.4,0.0,0.0,7.1,0.0,0.0,0.0,0.044000000000000004,-5.9,0.1,-5.8,0.0
489,Julius Randle,25,NYK,64,2080,17.5,0.5379999999999999,0.23,0.35,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,1.0,1.7,2.7,0.062,0.7,-1.0,-0.3,0.9
490,Josh Reaves,22,DAL,2,1,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0,0.0,-1.036,-24.4,-15.1,-39.5,0.0
491,Cam Reddish,20,ATL,58,1551,9.0,0.5,0.451,0.22699999999999998,2.4,12.7,7.5,8.0,1.9,1.5,13.6,18.9,-1.2,0.8,-0.4,-0.011000000000000001,-3.2,-1.0,-4.2,-0.9
492,J.J. Redick,35,NOP,54,1425,15.1,0.639,0.618,0.292,0.7,9.7,5.2,10.8,0.6,0.5,9.4,19.9,3.2,0.6,3.7,0.125,2.0,-1.6,0.4,0.9
493,Naz Reid,20,MIN,30,495,15.3,0.505,0.39899999999999997,0.218,7.0,19.9,13.2,11.2,1.8,3.7,7.6,24.0,0.2,0.6,0.8,0.07400000000000001,-1.6,-0.3,-1.9,0.0
494,Josh Richardson,26,PHI,48,1474,12.1,0.526,0.373,0.223,2.8,9.4,6.1,14.8,1.5,2.0,12.6,21.1,0.3,1.6,1.9,0.062,-1.5,-0.2,-1.7,0.1
495,Austin Rivers,27,HOU,60,1402,10.3,0.5379999999999999,0.537,0.20800000000000002,1.9,8.8,5.3,9.5,1.4,0.6,6.9,14.9,1.3,1.0,2.2,0.077,-1.9,-0.4,-2.3,-0.1
496,Duncan Robinson,25,MIA,65,1949,12.8,0.6779999999999999,0.8859999999999999,0.086,0.5,11.2,6.1,7.0,0.9,0.8,8.6,15.8,3.2,1.5,4.7,0.11599999999999999,1.2,-0.9,0.3,1.1
497,Glenn Robinson III,26,TOT,60,1743,13.4,0.5760000000000001,0.33,0.14400000000000002,4.7,11.7,8.1,8.6,1.5,0.8,7.9,16.4,2.0,0.8,2.8,0.077,-0.5,-1.1,-1.6,0.2
500,Jerome Robinson,22,TOT,55,748,6.0,0.439,0.48100000000000004,0.134,1.3,13.8,7.5,11.4,1.4,1.6,12.9,14.6,-0.7,0.7,0.0,0.003,-4.6,0.1,-4.5,-0.5
503,Justin Robinson,22,WAS,9,49,8.2,0.542,0.41700000000000004,0.0,2.2,9.3,5.6,18.6,0.0,1.8,20.0,12.7,0.0,0.0,0.0,0.006,-2.6,-3.1,-5.7,0.0
504,Mitchell Robinson,21,NYK,61,1412,23.5,0.726,0.0,0.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,4.8,2.0,6.8,0.23,1.6,1.3,3.0,1.8
505,Isaiah Roby,21,OKC,3,11,-7.7,0.0,0.0,0.0,0.0,19.5,10.1,0.0,0.0,0.0,50.0,8.0,-0.1,0.0,0.0,-0.191,-12.0,-3.5,-15.5,0.0
506,Rajon Rondo,33,LAL,48,984,12.4,0.494,0.381,0.125,2.6,12.9,7.9,32.4,1.9,0.2,20.8,18.7,0.2,1.3,1.5,0.073,-1.1,0.0,-1.2,0.2
507,Derrick Rose,31,DET,50,1298,21.1,0.555,0.195,0.185,2.3,8.3,5.3,40.5,1.5,1.0,13.4,31.6,1.9,0.6,2.5,0.09300000000000001,4.0,-1.7,2.2,1.4
508,Terrence Ross,28,ORL,63,1723,14.2,0.5479999999999999,0.584,0.207,0.8,12.3,6.3,6.8,2.0,1.2,6.8,22.8,1.0,1.8,2.9,0.08,0.0,-0.3,-0.4,0.7
509,Terry Rozier,25,CHO,63,2164,14.9,0.5529999999999999,0.45,0.20199999999999999,2.4,11.8,7.0,20.4,1.4,0.4,12.1,23.7,1.9,1.1,3.0,0.067,0.8,-1.3,-0.4,0.8
510,Ricky Rubio,29,PHO,57,1802,16.3,0.531,0.308,0.33399999999999996,2.5,14.0,8.2,39.9,2.3,0.4,18.1,20.2,2.4,1.7,4.1,0.109,0.5,0.2,0.7,1.2
511,D'Angelo Russell,23,TOT,45,1452,18.7,0.556,0.509,0.235,1.2,12.3,6.6,35.2,1.6,0.8,13.6,31.5,1.1,0.7,1.8,0.06,3.8,-1.9,1.9,1.4
514,Domantas Sabonis,23,IND,62,2159,20.7,0.586,0.079,0.349,9.7,29.5,19.7,21.7,1.1,1.2,14.8,23.4,4.2,3.3,7.6,0.168,2.1,1.1,3.2,2.9
515,Luka Šamanić,20,SAS,1,12,-3.4,0.0,0.5,0.0,0.0,18.0,9.0,28.9,0.0,0.0,0.0,14.5,-0.1,0.0,-0.1,-0.252,-7.4,-4.5,-11.9,0.0
516,JaKarr Sampson,26,IND,26,340,11.8,0.607,0.16,0.247,4.9,14.2,9.6,3.6,1.3,2.3,7.2,12.5,0.4,0.4,0.8,0.11699999999999999,-2.7,0.8,-1.8,0.0
517,Dario Šarić,25,PHO,58,1441,13.3,0.5720000000000001,0.455,0.20199999999999999,6.7,20.2,13.3,10.9,1.1,0.9,12.3,17.2,1.5,1.2,2.7,0.091,-0.5,-0.4,-0.9,0.4
518,Tomáš Satoranský,28,CHI,65,1878,13.5,0.5329999999999999,0.361,0.22,4.3,11.0,7.5,27.1,2.1,0.4,17.7,16.7,1.8,1.7,3.5,0.09,-1.0,-0.2,-1.2,0.4
519,Admiral Schofield,22,WAS,27,293,6.8,0.514,0.627,0.17300000000000001,2.2,10.9,6.4,6.2,1.3,0.9,8.0,12.5,0.1,0.0,0.1,0.02,-4.2,-1.1,-5.3,-0.2
520,Dennis Schröder,26,OKC,63,1952,16.8,0.573,0.33899999999999997,0.243,1.1,11.8,6.6,21.6,1.1,0.6,13.2,27.2,1.9,1.6,3.5,0.086,1.1,-1.2,-0.1,1.0
521,Mike Scott,31,PHI,63,1119,10.2,0.539,0.639,0.094,5.7,16.5,11.1,5.9,0.8,0.4,6.7,13.8,1.0,1.1,2.1,0.08900000000000001,-1.2,-1.1,-2.3,-0.1
522,Thabo Sefolosha,35,HOU,41,436,9.5,0.48700000000000004,0.593,0.08800000000000001,5.0,17.4,11.2,7.5,2.6,2.4,13.7,10.4,0.1,0.6,0.7,0.073,-2.7,1.6,-1.1,0.1
523,Collin Sexton,21,CLE,65,2143,16.3,0.56,0.235,0.24600000000000002,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.2,0.3,2.5,0.057,0.3,-2.1,-1.8,0.1
524,Landry Shamet,22,LAC,47,1294,9.2,0.599,0.764,0.179,0.5,6.5,3.6,9.0,0.7,0.6,8.7,13.3,1.7,1.0,2.7,0.1,-1.4,-0.2,-1.6,0.1
525,Marial Shayok,24,PHI,2,10,-2.0,0.3,0.6,0.0,0.0,33.1,16.6,13.4,0.0,0.0,16.7,25.9,-0.1,0.0,0.0,-0.22699999999999998,-8.7,-2.6,-11.3,0.0
526,Iman Shumpert,29,BRK,13,241,5.3,0.40299999999999997,0.516,0.109,3.9,10.4,7.3,6.8,2.4,0.7,13.0,13.4,-0.3,0.3,0.0,-0.001,-6.4,0.8,-5.6,-0.2
527,Pascal Siakam,25,TOR,53,1882,18.7,0.5589999999999999,0.32,0.275,3.3,18.8,11.2,17.0,1.3,2.5,10.5,28.5,2.0,3.2,5.2,0.133,1.7,0.5,2.2,2.0
528,Chris Silva,23,MIA,41,307,17.2,0.6629999999999999,0.028999999999999998,0.71,20.6,19.3,19.9,10.2,1.4,5.8,25.5,17.5,0.7,0.5,1.1,0.17800000000000002,-3.4,0.9,-2.5,0.0
529,Ben Simmons,23,PHI,54,1930,20.8,0.608,0.01,0.46,6.2,18.0,12.1,34.8,2.9,1.4,20.6,20.9,3.8,3.2,7.0,0.174,1.4,2.4,3.9,2.9
530,Anfernee Simons,20,POR,65,1400,9.3,0.506,0.41700000000000004,0.175,1.9,8.9,5.4,9.4,0.9,0.6,9.7,19.0,0.1,0.2,0.3,0.01,-2.5,-1.8,-4.4,-0.8
531,Alen Smailagić,19,GSW,14,139,14.5,0.61,0.325,0.475,7.5,13.7,10.5,14.3,1.0,2.6,18.5,18.2,0.2,0.1,0.2,0.081,-1.3,-0.8,-2.1,0.0
532,Marcus Smart,25,BOS,53,1721,14.0,0.519,0.5820000000000001,0.201,2.5,10.1,6.4,21.0,2.4,1.5,11.5,19.3,1.7,2.4,4.1,0.115,0.2,1.3,1.6,1.5
533,Dennis Smith Jr.,22,NYK,34,537,7.5,0.39899999999999997,0.256,0.251,4.1,11.7,7.7,26.4,2.5,1.4,19.8,23.1,-1.3,0.5,-0.9,-0.079,-5.2,-0.9,-6.1,-0.6
534,Ish Smith,31,WAS,60,1570,13.8,0.512,0.258,0.12,1.9,11.7,6.6,25.9,1.5,1.3,11.2,18.3,1.3,0.4,1.7,0.053,-0.3,-1.1,-1.4,0.2
535,Zhaire Smith,20,PHI,7,32,1.1,0.313,0.273,0.364,0.0,6.9,3.5,8.3,4.6,0.0,13.6,19.9,-0.1,0.1,-0.1,-0.11800000000000001,-10.8,0.8,-10.0,-0.1
536,Tony Snell,28,DET,59,1641,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1.0,0.8,7.3,11.4,2.1,0.5,2.6,0.076,-1.1,-0.6,-1.8,0.1
537,Omari Spellman,22,GSW,49,886,14.4,0.551,0.373,0.312,9.1,18.0,13.4,8.1,1.8,2.4,13.9,18.8,0.5,0.7,1.2,0.065,-0.7,-1.0,-1.7,0.1
538,Max Strus,23,CHI,2,6,30.7,0.727,0.33299999999999996,0.33299999999999996,17.5,0.0,9.2,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.317,5.4,-1.0,4.4,0.0
539,Edmond Sumner,24,IND,25,345,10.0,0.485,0.342,0.135,3.2,8.6,5.9,15.4,2.1,2.0,13.9,17.4,-0.1,0.4,0.3,0.039,-3.6,0.4,-3.1,-0.1
540,Caleb Swanigan,22,TOT,27,288,7.6,0.597,0.043,0.36200000000000004,9.9,26.1,18.1,14.0,0.5,2.1,40.4,13.5,-0.2,0.2,0.0,0.006999999999999999,-6.3,0.2,-6.0,-0.3
543,Jayson Tatum,21,BOS,59,2043,20.3,0.562,0.377,0.251,3.0,18.8,11.0,14.0,2.0,2.4,9.7,28.6,2.9,3.4,6.2,0.147,3.3,0.6,3.9,3.0
