Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,City,State,2019-20
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,Will Barton,29,DEN,58,58,1916,6.2,13.9,0.45,2.0,5.4,0.375,4.2,8.5,0.498,1.9,2.5,0.767,1.4,5.4,6.9,4.0,1.1,0.5,1.7,2.3,16.4,Baltimore,Maryland,12960000
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,Keita Bates-Diop,24,TOT,39,0,665,4.8,11.3,0.428,1.7,5.1,0.33,3.1,6.2,0.509,2.7,3.7,0.71,1.1,4.9,6.1,1.6,0.9,1.1,0.8,2.1,14.0,Bloomington,Illinois,1416852
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,Darius Bazley,19,OKC,53,8,909,3.5,9.1,0.383,1.2,4.0,0.3,2.3,5.1,0.446,1.3,1.9,0.6809999999999999,0.8,6.9,7.8,1.1,0.8,1.4,1.6,1.8,9.4,Boston,Massachusetts,2284800
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,Bradley Beal,26,WAS,57,57,2053,10.4,22.8,0.455,3.0,8.4,0.353,7.4,14.4,0.515,6.8,8.0,0.8420000000000001,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5,St. Louis,Missouri,27093019
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,Malik Beasley,23,TOT,55,14,1209,6.8,15.9,0.425,3.2,8.2,0.388,3.6,7.7,0.465,1.6,2.0,0.818,0.5,3.9,4.4,2.2,1.2,0.2,1.7,2.3,18.3,Atlanta,Georgia,2731714
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,Jordan Bell,25,TOT,29,0,256,4.9,9.4,0.522,0.6,1.7,0.333,4.4,7.7,0.564,2.7,4.4,0.613,4.2,7.2,11.4,2.3,0.4,1.4,3.0,2.7,13.1,Los Angeles,California,1620564
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Patrick Beverley,31,LAC,48,48,1299,3.9,9.0,0.428,2.1,5.5,0.379,1.8,3.5,0.504,0.7,1.1,0.659,1.6,5.6,7.2,5.0,1.5,0.7,1.8,4.2,10.5,Chicago,Illinois,12345679
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,Eric Bledsoe,30,MIL,56,56,1524,7.5,15.6,0.482,1.7,4.7,0.348,5.9,10.9,0.54,3.7,4.6,0.813,1.0,5.1,6.1,7.1,1.3,0.6,3.3,2.8,20.4,Birmingham,Alabama,15625000
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,Marques Bolden,21,CLE,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,12.0,0.0,0.0,12.0,0.0,Dallas,Texas,50752
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,Devin Booker,23,PHO,62,62,2241,8.7,18.0,0.487,2.0,5.6,0.36,6.7,12.3,0.544,6.5,7.1,0.916,0.4,3.7,4.1,6.6,0.7,0.3,3.9,3.0,26.0,Grand Rapids,Michigan,27250000
